model,tier,tasks,advisory_solved,binding_solved,delta_pp,b,c,mcnemar_p,adv_false_done,forced_repairs,first_sample
Llama-3.1-8B,k1,60,49,55,10.0,1,7,0.0703125,7,7,0
Llama-3.1-8B,k2,48,42,43,2.1,3,4,1,5,4,0
Qwen2.5-7B,k1,60,36,55,31.7,0,19,3.8147e-06,24,19,0
Qwen2.5-7B,k2,48,32,43,22.9,1,12,0.00341797,16,11,1
Claude-3-Haiku,k1,60,41,57,26.7,2,18,0.000402451,19,18,0
Claude-3-Haiku,k2,48,33,45,25.0,0,12,0.000488281,15,12,0
GPT-4o-mini,k1,60,46,60,23.3,0,14,0.00012207,14,13,1
GPT-4o-mini,k2,48,37,48,22.9,0,11,0.000976562,11,11,0
Gemini-2.5-Flash-Lite,k1,60,46,60,23.3,0,14,0.00012207,14,14,0
Gemini-2.5-Flash-Lite,k2,48,37,48,22.9,0,11,0.000976562,11,11,0
GPT-4.1,k1,60,60,60,0.0,0,0,1,0,0,0
GPT-4.1,k2,48,48,48,0.0,0,0,1,0,0,0
