experiment,model,tier,false_done_rate_pct,delta_pp
v2,GPT-4.1,k0,0.0,0.0
v2,Gemini-2.5-Flash-Lite,k0,9.2,9.2
v2,GPT-4o-mini,k0,9.2,9.2
v2,Claude-3-Haiku,k0,17.2,11.5
v2,Qwen2.5-7B,k0,18.4,14.9
v2,Llama-3.1-8B,k0,4.6,2.3
v2,Llama-3.2-3B,k0,1.1,-3.4
v3,Llama-3.1-8B,k1,11.7,10.0
v3,Qwen2.5-7B,k1,40.0,31.7
v3,Claude-3-Haiku,k1,31.7,26.7
v3,GPT-4o-mini,k1,23.3,23.3
v3,Gemini-2.5-Flash-Lite,k1,23.3,23.3
v3,GPT-4.1,k1,0.0,0.0
v3,Llama-3.1-8B,k2,10.4,2.1
v3,Qwen2.5-7B,k2,33.3,22.9
v3,Claude-3-Haiku,k2,31.2,25.0
v3,GPT-4o-mini,k2,22.9,22.9
v3,Gemini-2.5-Flash-Lite,k2,22.9,22.9
v3,GPT-4.1,k2,0.0,0.0
